mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
dca632fc35d0,1654683854.326416,(278-49j),(108+108j),(-196+1j),(221+235j),(157+381j),(-158+418j),(-404+268j),(-523+67j),(-466-189j),(-321-363j),(-143-452j),(-32-475j),(114-480j),(236-435j),(367-362j),(446-257j),(571-152j),(596+10j),(641+137j),(610+338j),(592+517j),(478+678j),(368+788j),(194+914j),(-23+954j),(-236+1001j),(-486+958j),(-697+856j),(-881+742j),(-1028+535j),(-1236+319j),(-1449+89j),(195-32j),(-1368-512j),(-1064-729j),(-836-810j),(-610-942j),(-388-983j),(-176-995j),(27-999j),(186-897j),(361-813j),(474-675j),(575-532j),(634-366j),(646-240j),(630-80j),(616+46j),(553+173j),(478+259j),(390+377j),(297+492j),(138+546j),(-25+541j),(-165+504j),(-338+406j),(-470+234j),(-559+2j),(-492-244j),(-258-468j),(74-521j),(-80+281j),(152-208j),(129-112j)
dca632fc35d0,1654683854.5410223,(278-49j),(108+108j),(-196+1j),(221+235j),(408-43j),(326+222j),(154+340j),(-16+422j),(-219+344j),(-269+254j),(-531+8j),(-418-35j),(-500-104j),(-302-308j),(-338-386j),(-202-480j),(-81-540j),(79-614j),(229-652j),(371-607j),(510-584j),(648-425j),(773-310j),(900-148j),(1000+50j),(1015+270j),(1011+477j),(884+709j),(707+893j),(552+1080j),(356+1253j),(94+1383j),(195-32j),(-443+1290j),(-653+1131j),(-796+895j),(-871+673j),(-987+501j),(-1009+294j),(-1007+73j),(-954-103j),(-829-258j),(-722-380j),(-612-497j),(-505-598j),(-339-649j),(-198-659j),(-43-644j),(77-605j),(210-550j),(319-483j),(432-397j),(509-254j),(577-89j),(581+95j),(516+287j),(360+468j),(129+551j),(-158+558j),(-449+379j),(-583+38j),(-80+281j),(152-208j),(129-112j)
dca632fc35d0,1654683854.600456,(278-49j),(108+108j),(-196+1j),(221+235j),(362+202j),(123+391j),(-150+386j),(-353+246j),(-441+17j),(-417-195j),(-291-364j),(-146-457j),(26-490j),(194-471j),(312-403j),(440-263j),(548-118j),(582+59j),(604+272j),(545+450j),(427+644j),(252+777j),(17+863j),(-252+892j),(-523+851j),(-769+706j),(-999+502j),(-1154+212j),(-1208-126j),(-1166-515j),(-1045-864j),(-903-1183j),(195-32j),(-136-1433j),(283-1305j),(570-1112j),(782-852j),(947-599j),(1014-308j),(999-14j),(928+203j),(803+401j),(636+558j),(434+670j),(218+734j),(26+716j),(-156+672j),(-296+584j),(-438+462j),(-529+300j),(-586+120j),(-595-70j),(-541-257j),(-394-442j),(-203-567j),(70-609j),(335-528j),(559-289j),(615+51j),(443+394j),(69+573j),(-80+281j),(152-208j),(129-112j)
dca632fc35d0,1654683854.700226,(278-49j),(108+108j),(-196+1j),(221+235j),(-65+301j),(-270+206j),(-367+40j),(-330-130j),(-238-245j),(-104-311j),(13-335j),(121-338j),(232-295j),(307-233j),(363-177j),(402-99j),(446-25j),(458+73j),(483+166j),(464+289j),(446+410j),(369+539j),(285+651j),(160+733j),(19+808j),(-152+831j),(-335+832j),(-495+764j),(-654+705j),(-800+597j),(-962+479j),(-1185+333j),(195-32j),(-1223-111j),(-1011-282j),(-887-425j),(-752-554j),(-595-624j),(-458-686j),(-323-731j),(-189-742j),(-59-730j),(57-703j),(146-631j),(222-559j),(276-473j),(348-394j),(397-305j),(445-213j),(454-131j),(476-43j),(482+53j),(463+183j),(368+304j),(269+388j),(123+449j),(-61+482j),(-262+429j),(-435+256j),(-491-19j),(-409-312j),(-80+281j),(152-208j),(129-112j)
dca632fc35d0,1654683854.8002307,(278-49j),(108+108j),(-196+1j),(221+235j),(-339+145j),(-326-80j),(-225-249j),(-61-354j),(122-377j),(283-289j),(360-182j),(397-49j),(378+78j),(338+173j),(289+281j),(221+364j),(132+456j),(15+517j),(-105+550j),(-259+556j),(-398+499j),(-534+421j),(-657+308j),(-739+180j),(-844+18j),(-856-165j),(-857-359j),(-777-567j),(-630-740j),(-508-905j),(-309-1068j),(-60-1162j),(195-32j),(425-1088j),(611-924j),(722-684j),(770-490j),(821-319j),(825-123j),(824+42j),(737+202j),(638+323j),(539+394j),(444+464j),(339+509j),(199+549j),(73+542j),(-57+504j),(-168+456j),(-239+376j),(-316+314j),(-367+225j),(-415+93j),(-427-47j),(-412-178j),(-348-317j),(-184-420j),(6-445j),(228-357j),(405-160j),(457+109j),(-80+281j),(152-208j),(129-112j)
dca632fc35d0,1654683854.901401,(278-49j),(108+108j),(-196+1j),(221+235j),(-122+460j),(-396+296j),(-521+31j),(-474-250j),(-289-436j),(-86-517j),(102-508j),(255-478j),(401-371j),(491-258j),(550-116j),(566+26j),(569+193j),(539+345j),(472+494j),(384+627j),(280+760j),(144+867j),(-43+946j),(-270+946j),(-525+906j),(-745+811j),(-954+674j),(-1107+479j),(-1237+231j),(-1315-74j),(-1343-384j),(-1406-670j),(195-32j),(-977-1151j),(-566-1189j),(-298-1188j),(-48-1148j),(196-1077j),(386-951j),(534-814j),(626-634j),(682-487j),(716-324j),(709-149j),(656+27j),(656+27j),(512+223j),(442+273j),(355+326j),(252+367j),(161+406j),(69+423j),(-38+425j),(-156+380j),(-259+311j),(-349+206j),(-414+72j),(-423-111j),(-318-291j),(-100-404j),(166-399j),(-80+281j),(152-208j),(129-112j)
dca632fc35d0,1654683855.000128,(278-49j),(108+108j),(-196+1j),(221+235j),(-495+72j),(-429-277j),(-173-500j),(116-535j),(364-434j),(515-235j),(524-45j),(504+159j),(414+345j),(317+459j),(174+538j),(46+578j),(-101+603j),(-274+596j),(-406+553j),(-584+476j),(-719+349j),(-820+141j),(-906-43j),(-910-266j),(-895-493j),(-760-718j),(-628-953j),(-402-1111j),(-111-1202j),(130-1255j),(471-1299j),(885-1230j),(195-32j),(1334-670j),(1304-336j),(1245-25j),(1119+262j),(1017+483j),(811+669j),(587+812j),(370+867j),(102+883j),(-74+800j),(-242+712j),(-360+594j),(-449+434j),(-504+274j),(-491+118j),(-463-2j),(-391-90j),(-335-170j),(-261-247j),(-185-288j),(-88-314j),(-7-326j),(74-297j),(189-246j),(280-133j),(310+30j),(248+193j),(97+297j),(-80+281j),(152-208j),(129-112j)
dca632fc35d0,1654683855.1003985,(278-49j),(108+108j),(-196+1j),(221+235j),(28+471j),(-332+384j),(-509+86j),(-476-241j),(-268-444j),(-24-512j),(195-463j),(400-380j),(517-175j),(580+17j),(551+239j),(475+417j),(306+566j),(116+683j),(-88+724j),(-309+717j),(-570+628j),(-786+455j),(-942+173j),(-1012-106j),(-948-416j),(-825-717j),(-606-960j),(-310-1146j),(55-1246j),(421-1221j),(818-1102j),(1269-915j),(195-32j),(1562+16j),(1351+388j),(1080+729j),(767+964j),(421+1078j),(49+1090j),(-293+1011j),(-556+820j),(-753+574j),(-836+302j),(-809+34j),(-715-193j),(-558-367j),(-369-471j),(-165-510j),(17-483j),(165-408j),(265-307j),(334-187j),(344-51j),(312+73j),(231+158j),(144+230j),(36+273j),(-99+247j),(-197+143j),(-207-5j),(-150-134j),(-80+281j),(152-208j),(129-112j)
dca632fc35d0,1654683855.2007647,(278-49j),(108+108j),(-196+1j),(221+235j),(-384+65j),(-393-89j),(-344-238j),(-162-391j),(49-429j),(238-361j),(373-232j),(445-80j),(458+97j),(410+247j),(308+364j),(186+451j),(28+526j),(-142+527j),(-293+509j),(-447+424j),(-591+314j),(-702+113j),(-742-89j),(-717-321j),(-650-518j),(-650-518j),(-272-842j),(1-884j),(329-845j),(589-657j),(781-316j),(612+142j),(195-32j),(111-557j),(568-588j),(832-288j),(905+76j),(826+352j),(652+577j),(401+716j),(183+767j),(-86+742j),(-276+656j),(-442+513j),(-505+338j),(-537+164j),(-519-9j),(-437-156j),(-336-257j),(-229-309j),(-229-309j),(17-342j),(118-291j),(205-210j),(236-128j),(253-25j),(225+82j),(143+198j),(21+230j),(-52+212j),(-101+171j),(-80+281j),(152-208j),(129-112j)
dca632fc35d0,1654683855.3003385,(278-49j),(108+108j),(-196+1j),(221+235j),(-394+187j),(-449-72j),(-371-318j),(-190-458j),(3-485j),(196-451j),(336-352j),(438-289j),(513-160j),(537-46j),(547+88j),(526+213j),(499+320j),(459+431j),(411+530j),(335+666j),(235+764j),(116+876j),(-43+921j),(-202+942j),(-386+941j),(-606+864j),(-746+847j),(-924+730j),(-1076+587j),(-1216+379j),(-1324+162j),(-1510-56j),(195-32j),(-1436-532j),(-1141-693j),(-956-824j),(-751-933j),(-547-971j),(-352-979j),(-149-986j),(10-935j),(163-891j),(293-791j),(392-660j),(456-512j),(508-367j),(527-253j),(525-153j),(498-71j),(443+22j),(389+103j),(331+187j),(269+249j),(194+283j),(114+299j),(20+289j),(-76+275j),(-165+218j),(-232+118j),(-233-25j),(-161-141j),(-80+281j),(152-208j),(129-112j)
