mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,label
dca632fc35d0,1655447520,(-3074+3072j),(1024-7161j),(2044+5120j),(-4096+4093j),(-316+291j),(-390+222j),(-455+131j),(-478-80j),(-435-257j),(-309-407j),(-168-500j),(9-530j),(162-531j),(304-490j),(436-409j),(529-329j),(627-178j),(692-43j),(740+89j),(738+261j),(694+439j),(581+610j),(453+732j),(294+830j),(164+887j),(-14+904j),(-183+893j),(-367+830j),(-542+691j),(-650+531j),(-740+279j),(-566-79j),(-1185+831j),(68+511j),(-226+721j),(-482+643j),(-670+494j),(-747+370j),(-801+208j),(-811+52j),(-792-70j),(-728-226j),(-656-332j),(-592-432j),(-523-494j),(-407-575j),(-284-620j),(-126-625j),(6-612j),(114-599j),(259-548j),(377-459j),(478-349j),(551-202j),(590-60j),(580+125j),(497+323j),(320+500j),(73+591j),(-84+572j),(-229+518j),(510+0j),0j,0j,0
dca632fc35d0,1655447520,(-3074+3072j),(1024-7161j),(2044+5120j),(-4096+4093j),(269-436j),(391-291j),(459-121j),(463+139j),(346+367j),(159+486j),(-48+535j),(-221+487j),(-400+384j),(-516+239j),(-590+61j),(-613-143j),(-556-318j),(-471-502j),(-314-689j),(-112-786j),(127-824j),(351-769j),(560-656j),(739-476j),(890-250j),(917-12j),(908+250j),(788+486j),(607+644j),(352+800j),(9+814j),(-273+500j),(-1185+831j),(481+191j),(432+643j),(159+815j),(-101+835j),(-370+793j),(-567+637j),(-691+465j),(-770+283j),(-761+99j),(-745-65j),(-702-246j),(-612-430j),(-456-554j),(-300-643j),(-120-652j),(64-634j),(253-579j),(397-483j),(526-322j),(598-125j),(600+80j),(528+309j),(377+488j),(153+601j),(-132+600j),(-416+460j),(-549+281j),(-623+65j),(510+0j),0j,0j,0
dca632fc35d0,1655447520,(-3074+3072j),(1024-7161j),(2044+5120j),(-4096+4093j),(-250-450j),(-43-500j),(163-466j),(376-343j),(492-166j),(532+30j),(497+226j),(362+422j),(210+498j),(33+574j),(-155+600j),(-297+546j),(-522+453j),(-649+293j),(-729+126j),(-777-90j),(-764-305j),(-682-542j),(-520-717j),(-333-855j),(-124-894j),(94-893j),(311-856j),(529-733j),(718-552j),(795-276j),(777+25j),(500+310j),(-1185+831j),(211-493j),(604-432j),(779-213j),(861+71j),(795+274j),(693+468j),(553+596j),(397+689j),(211+774j),(29+785j),(-140+749j),(-280+662j),(-415+572j),(-520+439j),(-619+279j),(-641+104j),(-623-63j),(-582-249j),(-471-396j),(-334-527j),(-132-595j),(59-609j),(279-539j),(481-372j),(604-117j),(594+191j),(468+424j),(265+587j),(510+0j),0j,0j,0
dca632fc35d0,1655447520,(-3074+3072j),(1024-7161j),(2044+5120j),(-4096+4093j),(1-417j),(249-362j),(423-166j),(454+81j),(360+287j),(211+420j),(41+485j),(-105+494j),(-292+446j),(-434+339j),(-536+194j),(-588+30j),(-599-145j),(-565-328j),(-481-509j),(-340-662j),(-160-761j),(35-801j),(234-791j),(443-731j),(637-613j),(777-480j),(873-269j),(910-88j),(920+93j),(912+293j),(869+511j),(846+681j),(-1185+831j),(483+974j),(199+962j),(15+922j),(-160+865j),(-335+793j),(-490+686j),(-578+557j),(-670+410j),(-695+271j),(-707+129j),(-702-30j),(-657-203j),(-568-350j),(-455-460j),(-323-536j),(-169-584j),(-3-587j),(154-560j),(307-492j),(444-373j),(533-182j),(561+15j),(514+225j),(396+407j),(189+545j),(-118+558j),(-422+383j),(-580+58j),(510+0j),0j,0j,0
dca632fc35d0,1655447520,(-3074+3072j),(1024-7161j),(2044+5120j),(-4096+4093j),(-9+543j),(-194+475j),(-340+360j),(-469+135j),(-479-118j),(-383-313j),(-242-467j),(-87-538j),(117-543j),(301-498j),(454-381j),(584-211j),(646-44j),(667+170j),(602+391j),(493+572j),(327+713j),(142+838j),(-92+845j),(-332+814j),(-564+673j),(-717+524j),(-853+305j),(-893+51j),(-873-184j),(-706-467j),(-446-651j),(-62-569j),(-1185+831j),(-509+133j),(-713-274j),(-582-555j),(-408-770j),(-141-844j),(93-842j),(292-777j),(465-661j),(592-541j),(690-389j),(749-189j),(732+39j),(679+221j),(587+367j),(483+508j),(306+578j),(103+633j),(-73+633j),(-270+573j),(-442+452j),(-564+273j),(-601+31j),(-575-212j),(-432-432j),(-205-593j),(122-610j),(331-533j),(513-388j),(510+0j),0j,0j,0
dca632fc35d0,1655447521,(-3074+3072j),(1024-7161j),(2044+5120j),(-4096+4093j),(-335-268j),(-158-425j),(79-463j),(288-386j),(430-243j),(499-81j),(509+75j),(469+238j),(425+346j),(336+455j),(236+542j),(114+602j),(-23+642j),(-168+658j),(-320+651j),(-466+612j),(-592+543j),(-692+445j),(-774+328j),(-835+196j),(-882+46j),(-883-69j),(-888-232j),(-860-340j),(-822-444j),(-781-561j),(-740-692j),(-729-812j),(-1185+831j),(-507-968j),(-313-953j),(-194-917j),(-79-891j),(41-871j),(156-843j),(241-777j),(333-731j),(389-663j),(452-593j),(523-513j),(593-413j),(641-300j),(659-188j),(651-78j),(630+37j),(596+153j),(546+274j),(546+274j),(361+489j),(216+562j),(57+586j),(-123+578j),(-311+517j),(-488+366j),(-595+116j),(-561-200j),(-366-476j),(510+0j),0j,0j,0
dca632fc35d0,1655447521,(-3074+3072j),(1024-7161j),(2044+5120j),(-4096+4093j),(-137+424j),(-314+347j),(-448+209j),(-513-32j),(-431-218j),(-325-393j),(-136-471j),(13-544j),(227-521j),(380-480j),(505-345j),(609-179j),(669-7j),(683+192j),(635+372j),(538+549j),(409+700j),(224+838j),(12+888j),(-196+869j),(-404+789j),(-574+699j),(-726+547j),(-826+325j),(-891+113j),(-815-158j),(-670-403j),(-302-503j),(-1185+831j),(-399+367j),(-720+131j),(-791-142j),(-766-393j),(-618-574j),(-460-682j),(-292-751j),(-133-778j),(40-799j),(188-763j),(347-687j),(466-552j),(565-420j),(628-291j),(669-130j),(668+45j),(602+201j),(540+366j),(415+486j),(249+587j),(49+633j),(-153+592j),(-359+491j),(-524+305j),(-638+46j),(-593-251j),(-459-434j),(-259-561j),(510+0j),0j,0j,0
dca632fc35d0,1655447521,(-3074+3072j),(1024-7161j),(2044+5120j),(-4096+4093j),(-372-99j),(-227-335j),(6-429j),(248-361j),(394-188j),(450+7j),(414+195j),(334+343j),(187+462j),(17+516j),(-167+516j),(-334+440j),(-482+330j),(-600+168j),(-657-42j),(-662-250j),(-585-456j),(-446-626j),(-263-744j),(-48-793j),(193-796j),(413-740j),(592-608j),(728-453j),(822-282j),(880-74j),(940+145j),(974+379j),(-1185+831j),(692+791j),(403+832j),(188+848j),(3+840j),(-212+792j),(-387+689j),(-526+573j),(-622+408j),(-682+261j),(-696+87j),(-685-86j),(-611-274j),(-505-412j),(-359-526j),(-196-580j),(-19-600j),(159-543j),(322-482j),(463-339j),(551-164j),(566+44j),(479+255j),(332+426j),(126+534j),(-149+551j),(-424+384j),(-559+50j),(-457-331j),(510+0j),0j,0j,0
dca632fc35d0,1655447521,(-3074+3072j),(1024-7161j),(2044+5120j),(-4096+4093j),(-328+224j),(-441-22j),(-383-270j),(-235-404j),(-42-425j),(85-469j),(217-349j),(372-281j),(445-161j),(556-33j),(591+73j),(523+199j),(522+342j),(449+489j),(349+603j),(220+707j),(55+736j),(-85+783j),(-227+782j),(-357+735j),(-512+677j),(-627+577j),(-734+473j),(-787+342j),(-862+248j),(-876+114j),(-963-13j),(-1063-136j),(-1185+831j),(-981-450j),(-791-523j),(-654-576j),(-562-654j),(-430-691j),(-319-730j),(-218-757j),(-91-742j),(-5-761j),(95-709j),(195-671j),(294-593j),(385-526j),(469-437j),(539-326j),(574-204j),(580-71j),(592+54j),(564+193j),(496+330j),(377+443j),(214+528j),(53+559j),(-147+548j),(-364+460j),(-535+255j),(-581-67j),(-438-400j),(510+0j),0j,0j,0
dca632fc35d0,1655447521,(-3074+3072j),(1024-7161j),(2044+5120j),(-4096+4093j),(-316-203j),(-279-338j),(-176-446j),(48-501j),(257-466j),(407-354j),(473-204j),(537+19j),(588+177j),(508+286j),(389+446j),(283+580j),(137+624j),(-27+689j),(-205+716j),(-397+681j),(-559+603j),(-690+486j),(-773+310j),(-851+125j),(-899-79j),(-864-263j),(-792-452j),(-669-616j),(-506-704j),(-261-812j),(3-786j),(257-500j),(-1185+831j),(-499-116j),(-537-537j),(-378-730j),(-160-834j),(49-855j),(247-818j),(383-730j),(511-650j),(574-522j),(647-400j),(695-263j),(732-102j),(732+47j),(677+190j),(603+297j),(493+400j),(372+518j),(245+576j),(84+615j),(-93+615j),(-256+554j),(-432+445j),(-562+265j),(-620+45j),(-587-207j),(-442-436j),(-270-524j),(-97-534j),(510+0j),0j,0j,0
