mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
dca6328e1dcb,1651477518.6726818,(94+75j),(26+29j),(-46+192j),(-53+135j),(184+342j),(-55+390j),(-275+279j),(-396+127j),(-398-45j),(-363-206j),(-270-290j),(-196-392j),(-26-435j),(79-457j),(210-426j),(284-380j),(416-328j),(491-234j),(579-141j),(615-19j),(629+129j),(589+282j),(543+408j),(496+523j),(407+612j),(308+706j),(179+762j),(55+801j),(-106+812j),(-214+811j),(-371+829j),(-586+800j),(59-47j),(-842+579j),(-815+426j),(-845+273j),(-834+103j),(-833-27j),(-816-151j),(-758-329j),(-688-424j),(-558-550j),(-441-627j),(-294-678j),(-161-719j),(-29-725j),(146-672j),(298-574j),(411-469j),(479-364j),(551-228j),(588-37j),(551+151j),(487+295j),(373+427j),(215+504j),(-6+550j),(-255+477j),(-448+292j),(-555+13j),(-427-330j),(79-129j),(108+184j),(302+20j)
dca6328e1dcb,1651477518.9051886,(94+75j),(26+29j),(-46+192j),(-53+135j),(-337-63j),(-257-249j),(-94-344j),(81-352j),(227-293j),(329-198j),(382-85j),(388+25j),(383+121j),(352+220j),(293+313j),(219+388j),(136+453j),(39+507j),(-79+532j),(-198+529j),(-312+501j),(-416+444j),(-509+370j),(-582+286j),(-644+185j),(-680+74j),(-702-42j),(-700-152j),(-682-262j),(-661-368j),(-622-489j),(-616-613j),(59-47j),(-412-766j),(-257-749j),(-135-737j),(-32-738j),(78-719j),(190-686j),(278-637j),(377-563j),(446-490j),(511-398j),(569-294j),(599-172j),(600-50j),(577+74j),(529+181j),(460+277j),(375+357j),(274+424j),(151+473j),(13+489j),(-143+466j),(-273+396j),(-387+281j),(-460+120j),(-465-86j),(-361-303j),(-136-444j),(147-430j),(79-129j),(108+184j),(302+20j)
dca6328e1dcb,1651477519.00037,(94+75j),(26+29j),(-46+192j),(-53+135j),(315+94j),(255+255j),(98+347j),(-67+358j),(-189+304j),(-310+225j),(-362+121j),(-396+33j),(-431-64j),(-426-185j),(-379-280j),(-308-364j),(-255-445j),(-149-524j),(-49-550j),(66-581j),(165-584j),(278-571j),(371-540j),(478-489j),(544-392j),(599-325j),(650-240j),(692-172j),(738-88j),(759+2j),(795+102j),(875+184j),(59-47j),(820+397j),(678+452j),(599+502j),(544+565j),(446+626j),(359+669j),(269+730j),(151+756j),(42+777j),(-67+758j),(-173+724j),(-304+649j),(-409+570j),(-496+469j),(-580+366j),(-618+202j),(-609+83j),(-608-58j),(-582-210j),(-504-357j),(-371-477j),(-208-545j),(-17-577j),(188-526j),(389-419j),(533-188j),(551+131j),(387+402j),(79-129j),(108+184j),(302+20j)
dca6328e1dcb,1651477519.1003804,(94+75j),(26+29j),(-46+192j),(-53+135j),(-231-310j),(-85-412j),(88-455j),(288-369j),(429-235j),(488-48j),(494+139j),(433+286j),(309+432j),(179+532j),(28+582j),(-137+595j),(-316+530j),(-455+451j),(-595+390j),(-685+248j),(-782+70j),(-751-120j),(-729-316j),(-658-520j),(-573-633j),(-421-755j),(-262-839j),(-52-870j),(197-815j),(392-691j),(569-480j),(525-95j),(59-47j),(-195-454j),(55-733j),(325-713j),(570-581j),(688-483j),(787-297j),(852-100j),(853+53j),(767+256j),(690+419j),(575+534j),(447+647j),(272+727j),(90+720j),(-97+705j),(-262+618j),(-407+517j),(-526+395j),(-602+226j),(-648+15j),(-594-180j),(-527-388j),(-334-531j),(-82-617j),(203-599j),(458-417j),(563-225j),(588+1j),(79-129j),(108+184j),(302+20j)
dca6328e1dcb,1651477519.2001228,(94+75j),(26+29j),(-46+192j),(-53+135j),(-338-241j),(-148-398j),(53-428j),(243-365j),(372-245j),(447-111j),(473+20j),(451+160j),(425+258j),(364+371j),(294+451j),(181+529j),(77+591j),(-43+625j),(-177+634j),(-295+613j),(-408+588j),(-527+532j),(-611+457j),(-696+385j),(-758+256j),(-807+167j),(-832+44j),(-854-53j),(-860-147j),(-843-262j),(-868-395j),(-921-505j),(59-47j),(-792-703j),(-630-735j),(-508-742j),(-418-800j),(-305-830j),(-193-859j),(-86-866j),(47-856j),(151-840j),(267-788j),(371-729j),(483-615j),(561-510j),(618-383j),(660-272j),(660-131j),(650+11j),(630+146j),(574+280j),(469+416j),(346+523j),(175+585j),(-27+603j),(-231+554j),(-416+436j),(-569+188j),(-585-125j),(-385-438j),(79-129j),(108+184j),(302+20j)
dca6328e1dcb,1651477519.3005953,(94+75j),(26+29j),(-46+192j),(-53+135j),(253-121j),(289-83j),(323-21j),(301+105j),(251+212j),(155+300j),(60+330j),(-44+359j),(-160+339j),(-262+311j),(-331+245j),(-386+172j),(-441+79j),(-461-21j),(-497-102j),(-474-216j),(-444-327j),(-354-426j),(-281-521j),(-180-578j),(-89-620j),(31-633j),(135-646j),(271-594j),(390-498j),(468-380j),(530-197j),(416+55j),(59-47j),(-57-394j),(171-526j),(367-498j),(523-392j),(606-309j),(654-173j),(673-27j),(671+65j),(608+231j),(561+318j),(475+412j),(382+479j),(268+535j),(157+545j),(18+548j),(-103+505j),(-194+453j),(-312+405j),(-393+306j),(-464+184j),(-486+51j),(-479-99j),(-408-242j),(-284-377j),(-86-461j),(147-470j),(277-401j),(379-308j),(79-129j),(108+184j),(302+20j)
dca6328e1dcb,1651477519.4008462,(94+75j),(26+29j),(-46+192j),(-53+135j),(-306+264j),(-434+19j),(-368-269j),(-177-431j),(29-478j),(241-416j),(391-273j),(485-111j),(509+92j),(470+263j),(364+413j),(218+505j),(61+589j),(-128+621j),(-297+595j),(-475+518j),(-627+377j),(-724+183j),(-769-22j),(-758-218j),(-702-396j),(-577-579j),(-464-714j),(-283-827j),(-55-890j),(149-899j),(355-887j),(628-862j),(59-47j),(930-509j),(926-295j),(931-68j),(894+159j),(830+341j),(716+505j),(554+672j),(368+778j),(162+833j),(-66+825j),(-265+765j),(-445+650j),(-594+476j),(-673+273j),(-706+58j),(-660-146j),(-565-312j),(-428-485j),(-228-605j),-623j,(241-568j),(409-457j),(552-240j),(605+56j),(489+357j),(216+568j),(-182+585j),(-478+328j),(79-129j),(108+184j),(302+20j)
dca6328e1dcb,1651477519.5094025,(94+75j),(26+29j),(-46+192j),(-53+135j),(327-240j),(412+11j),(328+258j),(131+402j),(-59+453j),(-259+386j),(-394+267j),(-450+117j),(-483-80j),(-438-220j),(-357-376j),(-265-494j),(-98-583j),(90-602j),(250-595j),(420-542j),(588-404j),(700-207j),(743-1j),(743+185j),(690+364j),(603+539j),(475+666j),(304+756j),(123+808j),(-54+833j),(-240+837j),(-463+817j),(59-47j),(-773+537j),(-778+364j),(-807+174j),(-801-17j),(-771-154j),(-686-304j),(-595-472j),(-468-576j),(-297-656j),(-128-673j),(25-677j),(183-651j),(355-556j),(482-425j),(557-251j),(587-93j),(554+86j),(510+266j),(388+406j),(192+520j),(28+544j),(-206+516j),(-373+388j),(-504+179j),(-515-79j),(-370-364j),(-90-508j),(234-448j),(79-129j),(108+184j),(302+20j)
dca6328e1dcb,1651477519.60458,(94+75j),(26+29j),(-46+192j),(-53+135j),(384-134j),(417+153j),(255+385j),(-7+463j),(-241+386j),(-396+231j),(-470+44j),(-484-144j),(-419-328j),(-279-470j),(-100-546j),(82-565j),(272-538j),(451-445j),(584-284j),(667-106j),(667-106j),(682+317j),(577+520j),(427+668j),(226+761j),(15+820j),(-199+795j),(-395+736j),(-584+643j),(-722+498j),(-849+327j),(-1051+152j),(59-47j),(-976-353j),(-766-496j),(-596-635j),(-424-746j),(-215-801j),(-12-819j),(207-809j),(392-704j),(557-578j),(674-419j),(748-207j),(744+10j),(686+223j),(574+399j),(414+550j),(209+625j),629j,(-206+593j),(-403+477j),(-551+293j),(-597+47j),(-554-174j),(-423-389j),(-196-538j),(110-574j),(418-413j),(575-83j),(487+275j),(79-129j),(108+184j),(302+20j)
dca6328e1dcb,1651477519.7000437,(94+75j),(26+29j),(-46+192j),(-53+135j),(268+398j),(-89+469j),(-378+305j),(-487+43j),(-461-208j),(-321-392j),(-121-491j),(118-517j),(302-419j),(447-293j),(537-124j),(575+67j),(524+275j),(428+462j),(295+623j),(82+721j),(-135+721j),(-375+638j),(-580+500j),(-721+333j),(-823+108j),(-810-114j),(-799-330j),(-696-551j),(-508-715j),(-323-850j),(-107-943j),(176-997j),(59-47j),(648-808j),(771-577j),(831-351j),(865-104j),(856+125j),(784+339j),(652+537j),(464+675j),(236+759j),(26+770j),(-203+733j),(-416+652j),(-570+489j),(-663+262j),(-673+17j),(-606-205j),(-511-381j),(-321-532j),(-89-606j),(140-611j),(394-502j),(555-296j),(627-34j),(564+280j),(305+526j),(-53+600j),(-424+431j),(-619+28j),(79-129j),(108+184j),(302+20j)
