mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
dca6328e1dcb,1651477887.1310592,(94+75j),(26+29j),(-46+192j),(-53+135j),(220-199j),(295-62j),(295+104j),(198+251j),(72+341j),(-87+364j),(-222+328j),(-306+238j),(-404+127j),(-438+11j),(-435-146j),(-417-268j),(-340-396j),(-237-523j),(-105-594j),(65-652j),(240-643j),(411-570j),(553-490j),(677-366j),(787-191j),(819-18j),(840+187j),(804+362j),(717+503j),(627+649j),(525+803j),(395+971j),(59-47j),(-20+1045j),(-233+946j),(-389+847j),(-538+742j),(-682+623j),(-779+456j),(-834+269j),(-867+83j),(-826-112j),(-759-277j),(-672-432j),(-534-571j),(-361-660j),(-180-694j),(9-697j),(190-633j),(335-530j),(460-414j),(564-241j),(613-49j),(585+157j),(507+355j),(338+511j),(92+594j),(-186+571j),(-471+385j),(-609+46j),(-518-316j),(79-129j),(79-129j),(302+20j)
dca6328e1dcb,1651477887.3640296,(94+75j),(26+29j),(-46+192j),(-53+135j),(394+36j),(226+343j),(-50+417j),(-317+257j),(-411+27j),(-387-222j),(-183-417j),(25-439j),(278-382j),(422-233j),(505+10j),(468+230j),(346+428j),(116+576j),(-162+618j),(-429+499j),(-632+293j),(-726-5j),(-677-301j),(-520-575j),(-234-767j),(80-829j),(405-744j),(672-539j),(835-250j),(891+100j),(865+460j),(681+810j),(59-47j),(-71+1062j),(-435+885j),(-686+611j),(-847+309j),(-895-43j),(-808-374j),(-573-652j),(-271-820j),(70-830j),(391-721j),(634-490j),(759-165j),(738+165j),(574+448j),(318+627j),(5+682j),(-299+590j),(-526+380j),(-628+83j),(-583-237j),(-353-503j),(-58-624j),(296-551j),(560-269j),(592+134j),(354+491j),(-110+586j),(-520+275j),(79-129j),(108+184j),(302+20j)
dca6328e1dcb,1651477887.40056,(94+75j),(26+29j),(-46+192j),(-53+135j),(-277-195j),(-106-314j),(101-334j),(263-254j),(348-132j),(380+14j),(361+153j),(285+255j),(185+378j),(75+433j),(-52+455j),(-176+448j),(-305+408j),(-421+337j),(-515+237j),(-584+123j),(-634-22j),(-639-189j),(-595-340j),(-527-467j),(-440-581j),(-316-684j),(-196-748j),(-54-798j),(100-808j),(253-813j),(433-797j),(658-780j),(59-47j),(916-506j),(903-324j),(906-142j),(907+28j),(871+197j),(816+362j),(709+531j),(591+650j),(424+752j),(251+814j),(65+830j),(-118+800j),(-293+731j),(-442+620j),(-556+467j),(-639+290j),(-672+110j),(-669-77j),(-615-264j),(-503-438j),(-328-582j),(-125-644j),(124-643j),(379-546j),(595-322j),(673+30j),(541+407j),(183+650j),(79-129j),(108+184j),(302+20j)
dca6328e1dcb,1651477887.5185034,(94+75j),(26+29j),(-46+192j),(-53+135j),(230+365j),(-32+501j),(-246+350j),(-349+217j),(-437+101j),(-411-77j),(-394-281j),(-323-338j),(-130-338j),(-135-525j),(113-537j),(244-512j),(304-517j),(412-467j),(647-454j),(702-283j),(779-168j),(904-24j),(813+156j),(812+296j),(835+412j),(701+537j),(618+758j),(507+813j),(369+932j),(272+1046j),(166+1119j),(-52+1243j),(59-47j),(-396+1174j),(-521+1031j),(-672+922j),(-768+756j),(-866+639j),(-969+491j),(-1008+328j),(-1031+131j),(-992-49j),(-949-207j),(-884-374j),(-796-518j),(-654-656j),(-475-744j),(-287-785j),(-96-782j),(64-750j),(233-707j),(408-609j),(555-465j),(677-300j),(722-73j),(708+167j),(594+416j),(361+614j),(15+718j),(-367+623j),(-629+327j),(79-129j),(108+184j),(302+20j)
dca6328e1dcb,1651477887.6002226,(94+75j),(26+29j),(-46+192j),(-53+135j),(326-59j),(322+148j),(161+300j),(-3+368j),(-138+375j),(-288+293j),(-363+171j),(-415+26j),(-419-118j),(-403-237j),(-322-362j),(-215-452j),(-215-452j),(81-547j),(222-575j),(383-523j),(516-431j),(625-274j),(699-124j),(725+27j),(759+190j),(687+344j),(640+501j),(531+643j),(387+733j),(272+848j),(83+943j),(-103+1009j),(59-47j),(-467+910j),(-601+771j),(-696+606j),(-779+434j),(-844+290j),(-873+112j),(-841-93j),(-821-263j),(-696-436j),(-571-561j),(-439-680j),(-245-759j),(-59-752j),(115-714j),(276-613j),(419-490j),(532-340j),(588-171j),(601+7j),(564+195j),(467+362j),(310+498j),(108+586j),(-136+564j),(-374+424j),(-529+194j),(-570-177j),(-357-487j),(79-129j),(108+184j),(302+20j)
dca6328e1dcb,1651477887.7048287,(94+75j),(26+29j),(-46+192j),(-53+135j),(344-215j),(395+28j),(315+223j),(171+357j),(-9+392j),(-177+368j),(-288+293j),(-356+202j),(-407+87j),(-426-23j),(-417-148j),(-381-269j),(-320-364j),(-227-450j),(-96-533j),(33-562j),(154-577j),(253-545j),(380-503j),(498-423j),(604-310j),(666-222j),(711-76j),(741+43j),(750+157j),(731+317j),(703+476j),(716+620j),(59-47j),(456+854j),(245+851j),(92+843j),(-51+842j),(-219+814j),(-369+752j),(-519+678j),(-642+553j),(-705+403j),(-761+260j),(-789+87j),(-774-124j),(-696-297j),(-575-432j),(-446-533j),(-283-598j),(-105-640j),(57-636j),(247-576j),(414-473j),(543-308j),(603-102j),(609+140j),(505+361j),(310+535j),(-31+620j),(-381+493j),(-622+163j),(79-129j),(108+184j),(302+20j)
dca6328e1dcb,1651477887.8011785,(94+75j),(26+29j),(-46+192j),(-53+135j),(153-348j),(328-184j),(381+49j),(294+233j),(147+351j),(-2+398j),(-137+380j),(-275+297j),(-362+196j),(-416+71j),(-424-69j),(-420-196j),(-357-292j),(-279-415j),(-156-521j),(-14-569j),(136-584j),(282-530j),(409-467j),(529-374j),(635-246j),(684-95j),(714+65j),(714+217j),(650+349j),(584+488j),(515+651j),(414+808j),(59-47j),(54+925j),(-147+858j),(-299+767j),(-449+666j),(-605+567j),(-700+407j),(-771+236j),(-800+44j),(-755-141j),(-683-299j),(-587-461j),(-436-602j),(-260-675j),(-63-699j),(128-654j),(298-550j),(437-420j),(531-273j),(586-69j),(575+134j),(492+318j),(340+478j),(130+576j),(-133+559j),(-362+419j),(-540+167j),(-548-190j),(-299-485j),(79-129j),(108+184j),(302+20j)
dca6328e1dcb,1651477887.900375,(94+75j),(26+29j),(-46+192j),(-53+135j),(260-321j),(424-105j),(414+148j),(311+299j),(154+396j),(-8+426j),(-113+430j),(-262+364j),(-356+314j),(-447+223j),(-494+105j),(-508-2j),(-538-138j),(-522-276j),(-482-363j),(-410-496j),(-322-587j),(-207-678j),(-88-739j),(38-781j),(177-744j),(312-745j),(414-691j),(534-644j),(652-579j),(726-491j),(866-400j),(1077-289j),(59-47j),(1119+32j),(1001+167j),(906+308j),(845+455j),(732+557j),(632+672j),(524+788j),(395+834j),(207+890j),(57+910j),(-100+893j),(-259+797j),(-412+727j),(-552+582j),(-655+449j),(-726+270j),(-706+109j),(-733-96j),(-664-297j),(-562-459j),(-376-580j),(-173-659j),(62-681j),(305-592j),(559-424j),(693-101j),(627+272j),(350+599j),(79-129j),(108+184j),(302+20j)
dca6328e1dcb,1651477888.0043633,(94+75j),(26+29j),(-46+192j),(-53+135j),(-321-175j),(-112-363j),(86-403j),(300-276j),(374-124j),(390+53j),(350+210j),(273+326j),(146+426j),(2+461j),(-140+447j),(-249+400j),(-389+343j),(-482+227j),(-540+72j),(-565-54j),(-566-225j),(-530-391j),(-443-540j),(-291-639j),(-130-697j),(6-752j),(196-706j),(342-675j),(501-609j),(632-505j),(785-402j),(965-253j),(59-47j),(1013+184j),(848+341j),(727+496j),(601+647j),(443+736j),(256+817j),(60+877j),(-146+830j),(-344+770j),(-498+674j),(-641+510j),(-729+306j),(-777+98j),(-755-119j),(-682-336j),(-539-501j),(-330-597j),(-133-697j),(110-674j),(341-590j),(525-411j),(619-184j),(635+81j),(557+362j),(317+582j),(-76+676j),(-433+478j),(-636+66j),(79-129j),(108+184j),(302+20j)
dca6328e1dcb,1651477888.113056,(94+75j),(26+29j),(-46+192j),(-53+135j),(-327-123j),(-182-316j),(4-372j),(205-304j),(324-128j),(352+34j),(345+182j),(266+290j),(149+378j),(26+417j),(-144+425j),(-267+366j),(-390+289j),(-495+155j),(-549-23j),(-539-189j),(-513-353j),(-399-509j),(-259-631j),(-100-712j),(145-726j),(335-668j),(520-567j),(657-459j),(759-287j),(824-86j),(882+142j),(953+350j),(59-47j),(652+775j),(378+837j),(165+860j),(-38+854j),(-261+800j),(-461+697j),(-621+560j),(-744+376j),(-802+161j),(-810-37j),(-755-266j),(-603-480j),(-418-616j),(-202-691j),(17-699j),(230-624j),(387-489j),(534-342j),(615-112j),(600+131j),(507+343j),(302+521j),(51+600j),(-234+537j),(-462+361j),(-570+22j),(-471-360j),(-107-577j),(79-129j),(108+184j),(302+20j)
dca6328e1dcb,1651477888.2015698,(94+75j),(26+29j),(-46+192j),(-53+135j),(320+194j),(154+361j),(-99+383j),(-249+275j),(-348+186j),(-397+20j),(-392-108j),(-325-226j),(-243-341j),(-158-405j),(-45-438j),(66-470j),(216-453j),(305-413j),(428-361j),(507-277j),(588-173j),(622-10j),(631+112j),(640+274j),(615+398j),(530+507j),(424+627j),(339+698j),(197+746j),(70+799j),(-87+863j),(-264+877j),(59-47j),(-554+733j),(-610+615j),(-670+476j),(-715+317j),(-771+239j),(-777+90j),(-782-77j),(-744-217j),(-638-368j),(-569-473j),(-461-593j),(-323-661j),(-168-702j),(29-690j),(186-638j),(332-542j),(443-445j),(510-311j),(566-111j),(609+50j),(550+281j),(446+433j),(254+555j),(21+621j),(-271+543j),(-490+331j),(-609-17j),(-464-395j),(79-129j),(108+184j),(302+20j)
