mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,label
dca632fc35d0,1655301560,(-42-114j),(32+4j),(-168-47j),(57+55j),(-940-9j),(-720-592j),(-261-914j),(224-883j),(470-689j),(657-421j),(714-165j),(691+71j),(624+255j),(505+401j),(368+489j),(265+491j),(122+507j),(25+488j),(-69+436j),(-118+372j),(-133+343j),(-196+283j),(-177+208j),(-148+167j),(-93+193j),(-62+201j),(-35+241j),(-51+284j),(-77+295j),(-85+346j),(-139+399j),(-199+456j),(-39+18j),(-323+472j),(-335+443j),(-379+408j),(-439+375j),(-494+378j),(-564+329j),(-648+264j),(-682+205j),(-746+78j),(-803-20j),(-816-174j),(-775-304j),(-737-457j),(-658-596j),(-513-730j),(-361-834j),(-170-876j),(67-943j),(288-901j),(555-805j),(749-656j),(932-429j),(1008-92j),(1016+277j),(870+714j),(439+1083j),(-181+1202j),(-838+872j),(104-74j),(173+92j),(218-109j),1
dca632fc35d0,1655301561,(-42-114j),(32+4j),(-168-47j),(57+55j),(657-376j),(736+145j),(495+525j),(129+668j),(-201+613j),(-418+434j),(-521+222j),(-529+35j),(-483-141j),(-396-264j),(-280-359j),(-139-387j),(-48-381j),(51-359j),(152-311j),(188-234j),(211-172j),(198-131j),(169-98j),(149-87j),(135-75j),(124-103j),(136-110j),(158-130j),(213-140j),(256-132j),(315-113j),(411-80j),(-39+18j),(471+47j),(438+117j),(418+172j),(408+254j),(373+328j),(327+404j),(261+473j),(173+546j),(57+593j),(-64+618j),(-200+612j),(-351+561j),(-487+468j),(-596+343j),(-671+177j),(-697-3j),(-665-200j),(-602-387j),(-461-561j),(-275-692j),(-13-747j),(256-740j),(541-608j),(758-345j),(874+32j),(746+503j),(333+883j),(-326+901j),(104-74j),(173+92j),(218-109j),1
dca632fc35d0,1655301561,(-42-114j),(32+4j),(-168-47j),(57+55j),(-184+689j),(-542+433j),(-641+69j),(-573-245j),(-398-452j),(-192-539j),(-5-551j),(130-485j),(247-382j),(315-305j),(360-203j),(374-113j),(344-31j),(322+48j),(294+113j),(252+150j),(197+154j),(147+144j),(116+118j),(94+74j),(94+60j),(118+31j),(133+15j),(183+15j),(216+6j),(252+37j),(295+61j),(366+101j),(-39+18j),(402+201j),(365+236j),(347+269j),(326+325j),(302+373j),(278+423j),(226+490j),(177+528j),(104+574j),(33+593j),(-66+624j),(-190+609j),(-303+589j),(-417+526j),(-520+426j),(-596+313j),(-647+178j),(-671+34j),(-681-127j),(-643-310j),(-535-496j),(-389-658j),(-169-765j),(116-789j),(420-710j),(723-458j),(911+17j),(754+556j),(104-74j),(173+92j),(218-109j),1
dca632fc35d0,1655301561,(-42-114j),(32+4j),(-168-47j),(57+55j),(-618+244j),(-638-198j),(-413-525j),(-74-629j),(224-542j),(409-384j),(487-177j),(515-11j),(456+129j),(371+242j),(266+323j),(138+355j),(41+355j),(-50+344j),(-124+265j),(-153+217j),(-168+167j),(-166+136j),(-149+92j),(-106+67j),(-72+64j),(-22+79j),(-43+116j),(-64+157j),(-103+184j),(-133+229j),(-210+254j),(-288+244j),(-39+18j),(-393+172j),(-422+126j),(-445+64j),(-456-1j),(-472-75j),(-479-174j),(-431-260j),(-427-355j),(-366-442j),(-288-528j),(-183-584j),(-60-629j),(99-620j),(254-597j),(398-533j),(516-428j),(600-260j),(681-98j),(694+104j),(647+314j),(491+497j),(313+666j),(37+755j),(-271+745j),(-594+585j),(-841+226j),(-829-296j),(-480-757j),(104-74j),(173+92j),(218-109j),1
dca632fc35d0,1655301561,(-42-114j),(32+4j),(-168-47j),(57+55j),(120-666j),(278-648j),(436-575j),(621-272j),(667+60j),(557+315j),(371+476j),(140+520j),(-35+502j),(-191+427j),(-306+338j),(-359+232j),(-358+89j),(-351-12j),(-337-80j),(-282-142j),(-196-175j),(-106-163j),(-56-111j),(-36-80j),(-62-64j),(-88-28j),(-135-41j),(-173-63j),(-191-108j),(-166-180j),(-119-237j),(2-215j),(-39+18j),(-229+55j),(-355-120j),(-348-253j),(-288-391j),(-208-485j),(-95-552j),(45-597j),(168-616j),(325-581j),(461-510j),(579-408j),(690-269j),(757-98j),(768+105j),(709+307j),(581+468j),(459+624j),(257+736j),(18+793j),(-231+779j),(-493+664j),(-712+488j),(-888+187j),(-906-198j),(-726-619j),(-358-902j),(-85-961j),(170-922j),(104-74j),(173+92j),(218-109j),1
dca632fc35d0,1655301561,(-42-114j),(32+4j),(-168-47j),(57+55j),(-842+115j),(-763-97j),(-654-272j),(-432-522j),(-163-615j),(93-608j),(299-498j),(438-320j),(471-144j),(450+9j),(412+124j),(338+191j),(237+272j),(152+287j),(79+290j),(8+255j),(-40+192j),(-70+128j),(-68+55j),(-37+10j),(31+11j),(86+14j),(148+48j),(174+116j),(171+173j),(120+255j),(37+281j),(-74+213j),(-39+18j),(252+16j),(323+229j),(279+368j),(188+483j),(82+543j),(-51+593j),(-189+592j),(-293+574j),(-418+536j),(-540+453j),(-644+331j),(-707+201j),(-763+38j),(-759-133j),(-703-320j),(-602-473j),(-476-607j),(-294-731j),(-85-792j),(145-815j),(416-722j),(625-617j),(807-363j),(908-18j),(856+411j),(595+785j),(356+974j),(63+1097j),(104-74j),(173+92j),(218-109j),1
dca632fc35d0,1655301561,(-42-114j),(32+4j),(-168-47j),(57+55j),(808-370j),(876-91j),(841+214j),(620+573j),(292+772j),(-61+788j),(-353+671j),(-534+457j),(-626+237j),(-631+29j),(-571-170j),(-482-314j),(-319-429j),(-175-490j),(-37-496j),(99-446j),(211-363j),(310-233j),(334-84j),(306+43j),(236+127j),(141+195j),(42+221j),(-81+209j),(-192+157j),(-239+56j),(-239-53j),(-139-153j),(-39+18j),(-144+179j),(-325+95j),(-412-18j),(-449-165j),(-431-292j),(-377-423j),(-283-514j),(-191-593j),(-46-651j),(109-673j),(271-657j),(420-595j),(556-496j),(661-361j),(738-182j),(758+7j),(742+196j),(669+390j),(542+556j),(362+695j),(130+797j),(-130+848j),(-434+765j),(-718+545j),(-889+171j),(-892-262j),(-745-551j),(-534-758j),(104-74j),(173+92j),(218-109j),1
dca632fc35d0,1655301561,(-42-114j),(32+4j),(-168-47j),(57+55j),(539-642j),(774-443j),(925-160j),(850+333j),(590+661j),(230+810j),(-102+808j),(-409+656j),(-580+449j),(-671+219j),(-669-11j),(-609-199j),(-473-369j),(-329-471j),(-179-527j),(-19-514j),(132-449j),(246-337j),(293-208j),(290-87j),(236+6j),(170+75j),(84+97j),(1+89j),(-64+45j),(-83-23j),(-70-81j),(-9-96j),(-39+18j),(-125+20j),(-189-82j),(-181-169j),(-140-255j),(-77-315j),(-5-361j),(82-375j),(167-375j),(268-347j),(360-305j),(442-232j),(500-142j),(542-25j),(543+123j),(492+277j),(409+393j),(300+500j),(133+581j),(-46+605j),(-241+578j),(-423+484j),(-576+354j),(-702+127j),(-715-178j),(-564-511j),(-262-757j),(6-741j),(221-647j),(104-74j),(173+92j),(218-109j),1
dca632fc35d0,1655301561,(-42-114j),(32+4j),(-168-47j),(57+55j),(387+861j),(131+956j),(-146+954j),(-584+701j),(-839+313j),(-835-88j),(-701-405j),(-448-587j),(-196-676j),(50-654j),(242-555j),(412-425j),(474-245j),(500-78j),(478+62j),(381+186j),(278+242j),(156+252j),(77+222j),175j,(-33+124j),(-24+53j),(11+9j),(70-6j),(122+17j),(139+76j),(116+135j),(45+144j),(-39+18j),(160-78j),(270+29j),(281+137j),(261+246j),(193+310j),(130+368j),(53+414j),(-34+420j),(-121+425j),(-231+400j),(-322+351j),(-421+305j),(-492+197j),(-543+88j),(-550-59j),(-512-199j),(-471-343j),(-332-481j),(-212-574j),(-15-636j),(220-613j),(454-538j),(669-327j),(774-30j),(722+336j),(473+661j),(277+726j),(82+718j),(104-74j),(173+92j),(218-109j),1
dca632fc35d0,1655301561,(-42-114j),(32+4j),(-168-47j),(57+55j),(-392+903j),(-630+734j),(-801+509j),(-901+105j),(-795-271j),(-606-532j),(-400-671j),(-188-726j),(8-705j),(195-649j),(331-567j),(437-433j),(485-318j),(505-205j),(509-94j),(498+0j),(462+87j),(408+131j),(343+161j),(293+185j),(219+178j),(197+167j),(180+152j),(162+130j),(179+119j),(165+136j),(139+132j),(81+160j),(-39+18j),(99-152j),(233-150j),(308-119j),(375-72j),(411-7j),(447+57j),(468+126j),(470+208j),(473+271j),(437+354j),(404+430j),(323+505j),(231+578j),(133+626j),(14+658j),(-107+639j),(-248+609j),(-388+567j),(-518+477j),(-650+339j),(-728+172j),(-780-69j),(-738-315j),(-607-577j),(-376-813j),(2-932j),(270-884j),(527-755j),(104-74j),(173+92j),(218-109j),1
dca632fc35d0,1655301561,(-42-114j),(32+4j),(-168-47j),(57+55j),(194-907j),(736-554j),(906+2j),(714+493j),(331+734j),(-49+772j),(-348+649j),(-542+451j),(-665+234j),(-670+2j),(-591-226j),(-460-373j),(-329-492j),(-137-572j),(29-569j),(180-531j),(298-429j),(386-327j),(416-219j),(427-108j),(419+8j),(366+84j),(332+133j),(277+175j),(217+194j),(174+224j),(136+244j),(97+234j),(-39+18j),(53+192j),(31+166j),(31+166j),(45+155j),(55+168j),(38+187j),(30+216j),(1+237j),(-45+269j),(-105+294j),(-184+294j),(-286+249j),(-362+159j),(-412+68j),(-445-45j),(-432-181j),(-364-311j),(-267-426j),(-118-515j),(67-550j),(293-503j),(476-345j),(624-113j),(639+164j),(535+467j),(194+724j),(-335+700j),(-754+325j),(104-74j),(173+92j),(218-109j),1
