mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,label
dca632f89509,1648722363,385.8523033,357.9944134,175.5818897,449.4018247,677.2953565,670.141776,646.8423301,642.7223351,651.7461162,643.7095618,642.0225853,625.8442298,633.0908308,622.9614755,657.6351572,678.4283308,673.0185733,714.2807571,765.6343775,787.2998158,810.3857106,810.0302463,812.2961283,835.1011915,888.8869444,892.923289,928.0393311,938.7358521,927.0436883,978.0644151,1039.840372,1094.38019,130.6483831,1106.869459,1060.357015,990.4261709,947.0300946,944.477104,929.758033,891.185727,876.0576465,816.5794511,796.7860441,775.3192891,760.6056797,734.0006812,693.8767902,638.4426364,579.2969877,570.9614698,534.5745972,519.7730274,506.3200569,510.3253864,496.6699105,494.2974813,485.1278182,446.2846625,436.8180399,450.2110616,452.3593704,526.1606219,163.2176461,241.6712643,1
dca632f89509,1648722363,385.8523033,357.9944134,175.5818897,449.4018247,764.5299209,777.3596336,785.7544146,792.2783602,749.9633324,772.1813259,739.7107543,759.9592094,778.2550996,782.629542,808.1392207,788.8852895,833.7463643,850.6144838,880.7979337,914.054703,939.9728719,973.419745,979.2267357,976.7440811,977.2681311,1002.57668,982.5991044,982.1104826,992.5421905,982.0183298,1044.108232,1166.499464,130.6483831,1150.833611,986.1972419,921.5378451,908.3666661,856.3089396,816.545161,787.7372658,736.8561596,725.6121554,701.8390129,653.6941181,585.7798221,534.7335785,501.1037817,481.0010395,439.1719481,401.5133871,395.0556923,395.1809712,363.0344336,337.6684765,307.6117683,320.7319753,282.3632412,312.2707159,314.5155004,281.726818,264.7508262,526.1606219,163.2176461,241.6712643,1
dca632f89509,1648722363,385.8523033,357.9944134,175.5818897,449.4018247,734.457623,746.1527994,722.9412148,722.3863232,694.3097292,699.0851164,703.6149515,697.3643237,728.0116757,742.0545802,758.8445164,759.0230563,791.0025284,813.7622503,828.0175119,845.0,874.3094418,904.4760914,906.0474601,927.3370477,901.8924548,947.8507266,929.758033,916.8843984,928.3474565,910.8172155,963.9927386,1070.224276,130.6483831,1064.291783,920.3852454,843.452429,845.601561,792.1975764,756.6901612,741.7277128,685.5216991,658.237799,646.7433803,590.10677,532.6997278,492.0985674,456.0175435,445.9708511,401.1234224,361.509336,358.1298647,347.828981,342.5463472,306.320094,298.7657946,275.9655776,277.0451227,290.9931271,291.8030157,263.4539808,236.7551478,526.1606219,163.2176461,241.6712643,1
dca632f89509,1648722363,385.8523033,357.9944134,175.5818897,449.4018247,715.8051411,746.5011721,718.4037862,722.7129444,708.3572545,695.0582709,691.4130459,682.8975033,706.772948,727.3321112,737.9031102,742.8492445,767.6157893,800.3905297,831.7120896,861.9448938,880.2476924,864.3807032,859.5871102,842.1217252,876.4274071,855.1023331,858.393849,848.8262484,806.6529613,828.8262785,847.4396734,890.1263955,130.6483831,860.3563215,794.2197429,733.1473249,712.7818741,702.1402994,666.9527719,641.2370856,605.0264457,546.1071323,544.3904849,494.0212546,501.3392065,478.715991,460.9251566,416.2703448,381.3200755,357.6171137,348.6043603,348.1910395,355.1858668,368.2662081,363.0550922,386.948317,395.3795645,384.4216435,416.1201749,450.2454886,431.5101389,526.1606219,163.2176461,241.6712643,1
dca632f89509,1648722363,385.8523033,357.9944134,175.5818897,449.4018247,723.8957107,715.1454398,717.0955306,733.5298222,672.4856876,683.1639627,672.3942296,687.4256323,697.5227595,730.3492315,740.5572226,738.7773684,782.6851219,795.4897862,826.9679558,838.6000238,892.5032213,826.6686156,856.4327177,844.5933933,858.432292,870.6055364,881.083424,838.5469575,810.4498751,847.406042,908.2433595,948.9452039,130.6483831,923.7185719,794.735176,745.3489116,704.8694915,704.4352348,650.4959646,628.5515094,594.7982851,573.3079452,532.8536384,495.3312023,454.9428536,438.5259399,422.689011,417.6122604,403.3174928,357.0770225,360.0111109,361.9419843,372.6902199,349.1432371,335.3714359,335.8764654,350.7035785,405.2776826,405.2468384,373.523761,381.3292541,526.1606219,163.2176461,241.6712643,1
dca632f89509,1648722363,385.8523033,357.9944134,175.5818897,449.4018247,656.2088082,652.1242213,627.624888,619.2842643,602.889708,603.2992624,594.9722683,631.9058474,617.1393684,624.093743,646.7920841,660.8638286,680.2132019,710.6848809,735.6969485,763.4690563,795.0974783,815.4569271,822.8493179,829.9427691,836.4000239,836.4000239,847.0678839,847.6626688,861.2665093,873.6154761,912.7743423,1014.359404,130.6483831,1011.139951,874.7393898,826.7587314,797.8803168,762.2866915,727.9484872,711.9978933,671.49758,643.2324619,623.0072231,592.9291695,546.6269295,502.8339686,470.1159431,448.2644309,423.1784494,393.4119978,378.8680509,367.1103376,359.8444108,345.8279919,336.9421315,328.8768767,332.4875938,341.6723577,330.7113545,325.5303365,338.0,526.1606219,163.2176461,241.6712643,1
dca632f89509,1648722363,385.8523033,357.9944134,175.5818897,449.4018247,677.9100235,683.4917703,680.1058741,670.0902924,637.3860683,637.1012478,611.8986844,662.5262259,654.2812851,672.5191447,681.9186168,680.536553,720.9105354,749.6939376,778.9768931,806.1494899,851.2543686,882.3270369,914.595539,930.239754,956.2520588,974.2946166,989.2042256,984.0325198,1017.833483,1020.125973,1087.443332,1195.091628,130.6483831,1180.650668,1032.001938,1032.001938,940.6689109,917.0081788,868.8250687,863.1135499,795.5029855,774.5844047,762.4965574,704.0369308,639.0500763,598.9206959,570.5479822,545.3228402,511.3443067,445.8082547,441.0770908,427.4681275,422.4038352,379.3481251,365.2998768,340.1543767,338.9985251,364.1977485,352.3932462,324.9015235,306.0669861,526.1606219,163.2176461,241.6712643,1
dca632f89509,1648722363,385.8523033,357.9944134,175.5818897,449.4018247,675.9186342,677.4872693,666.4082833,654.8473104,641.7631962,639.3621822,612.9151654,619.4360338,632.0458844,656.3794634,667.3080248,690.2615446,721.0554764,768.609784,807.6756775,839.7815192,902.9296761,916.6896967,927.4233122,955.956589,994.2157713,1006.553029,1020.811442,1032.630137,1037.102213,1041.528204,1113.073223,1203.946843,130.6483831,1196.62233,1083.342974,987.8137476,958.853482,932.2413851,898.2694473,868.8843421,820.2786112,784.1186135,747.0542149,705.0822647,660.0946902,622.5921619,578.3165223,534.8439025,496.1219608,466.1812952,435.2585439,420.2154209,406.0541836,387.0051679,381.5049148,370.799137,355.1281459,349.6569748,347.6046605,324.5997535,319.5309062,526.1606219,163.2176461,241.6712643,1
dca632f89509,1648722364,385.8523033,357.9944134,175.5818897,449.4018247,651.1443772,621.4595723,603.9105894,585.7209233,596.953097,592.1933806,593.6210913,584.2028757,584.4527355,582.1099552,598.5064745,631.5892653,642.446885,687.4896363,746.3544734,788.249326,827.4406323,827.9432348,852.0005869,888.9229438,949.5030279,995.6329645,1023.739225,1049.413646,1052.715536,1108.821446,1192.673048,1257.118133,130.6483831,1289.84689,1212.115919,1136.704007,1092.024267,1087.737101,1070.848729,1038.171469,1014.852206,968.7982246,936.8100128,903.7815001,889.7302962,840.2648392,806.3808033,747.6075174,701.9095383,678.546977,630.518041,615.1723336,601.0074875,586.5603123,582.3478342,574.2821606,565.3211477,527.0996111,515.3882032,520.8387466,526.0465759,526.1606219,163.2176461,163.2176461,1
dca632f89509,1648722364,385.8523033,357.9944134,175.5818897,449.4018247,446.9272872,449.6276237,448.2688925,427.1545388,403.9368763,425.3962858,425.7663679,420.7766629,442.7120961,438.881533,472.3060448,465.8003864,505.1940221,560.0723168,569.0140596,622.675678,667.6922944,705.8448838,737.3601562,766.2023231,811.7320987,860.3632954,879.3321329,921.7119941,945.169297,976.3810731,1064.106198,1196.298458,130.6483831,1218.986464,1093.297764,1038.953801,1030.827338,1021.542461,989.3396788,987.15399,949.539362,943.9157801,892.4712881,866.2014777,834.0215825,789.0050697,758.6731839,712.3496333,690.9355976,625.3527005,620.7165214,599.6165441,566.0565343,544.1323368,542.2711499,537.4923255,532.6434079,525.6690974,527.1906676,514.762081,509.5978807,526.1606219,163.2176461,241.6712643,1
dca632f89509,1648722364,385.8523033,357.9944134,175.5818897,449.4018247,544.5456822,565.0221235,535.4147925,549.2777075,517.6765399,502.1892074,532.9615371,541.9012825,562.8729874,512.0156248,487.6248558,553.1726674,568.594759,602.0847116,638.6000313,711.1258679,780.5030429,714.297557,694.8323539,773.3104163,770.6367497,786.3078278,798.6244424,811.0536357,851.398849,863.111812,908.4107001,980.2907732,130.6483831,971.045828,889.6207057,827.7934525,799.7280788,791.7202789,748.9138802,717.0111575,683.9042331,663.6866731,634.5470826,597.7039401,583.1037644,545.1174185,499.8899879,472.704982,442.9864558,416.3099807,404.1088962,399.310656,391.781827,381.4354467,375.3664876,365.7717868,360.0055555,364.2430507,368.8482073,367.3962439,364.6505176,526.1606219,163.2176461,241.6712643,1
dca632f89509,1648722364,385.8523033,357.9944134,175.5818897,449.4018247,589.185879,589.1256233,562.2277119,548.7777328,529.6461083,511.4782498,497.3409293,513.6399517,501.5226814,513.484177,524.4358874,532.060147,557.9793903,599.8008003,628.8561044,646.4688701,688.8693635,739.4714328,757.1452965,780.4261656,802.0280544,833.6390106,854.0562042,871.1377618,896.9392399,902.6372472,971.6676387,1068.805408,130.6483831,1066.452999,958.4257926,888.9735654,879.4782544,849.7252497,840.1726013,826.3776376,791.6817542,776.8037075,765.7969705,740.0675645,704.8723289,679.6741867,661.8912297,648.6940727,609.7417486,584.0154108,578.9525024,576.6081859,569.2319387,568.5384771,572.3495435,561.8540736,575.2295194,594.5569779,591.0414537,609.0820963,598.2140085,526.1606219,163.2176461,241.6712643,1
dca632f89509,1648722364,385.8523033,357.9944134,175.5818897,449.4018247,609.7081269,609.6039698,590.2245335,595.7390368,577.8624404,601.5396911,581.4989252,582.2233249,597.3985269,624.6767164,637.762495,667.4159123,683.0666146,735.9673906,784.0408153,828.0157003,866.314608,872.1123781,897.4190771,910.8485055,978.0209609,974.5711878,1022.176599,1031.586157,1027.277957,1054.807091,1131.781339,1221.424169,130.6483831,1214.292387,1105.750876,1040.768947,997.2963451,993.9597577,944.0831531,931.3565375,899.0289206,846.2493722,811.5694671,811.5694671,781.0716997,737.5208472,724.5722876,656.8043849,635.4462999,611.2160011,597.7240166,576.5561551,585.884801,580.7245474,581.2271501,584.8632319,583.6248795,583.7679333,600.9725451,611.2609917,616.2345333,526.1606219,163.2176461,241.6712643,1
dca632f89509,1648722364,385.8523033,357.9944134,175.5818897,449.4018247,431.8078276,453.2824726,472.8223768,469.0266517,419.686788,433.8029507,428.1086311,445.2998989,475.4639839,489.6948029,510.9559668,495.7822102,537.1154438,572.1232385,585.7798221,628.4305849,665.9827325,707.3118124,722.2638022,736.3694725,737.3588,784.0841792,786.7871377,796.5707753,808.6593844,804.7564849,879.7618996,995.8443654,130.6483831,993.6770099,841.6085789,807.560524,773.2968382,760.3058595,725.7823365,720.8085738,684.485208,685.2452116,656.5439818,636.8453501,579.3254698,550.6005812,539.0111316,516.1492032,504.5879507,453.3486517,467.0042826,476.1774879,457.1925196,454.1200282,446.1176975,437.8641342,443.6766841,479.5518741,493.8522046,463.3896848,480.5538471,526.1606219,163.2176461,241.6712643,1
dca632f89509,1648722365,385.8523033,357.9944134,175.5818897,449.4018247,590.8747752,602.6184531,583.7893456,574.8573736,576.1084967,606.9761116,569.6885114,619.49092,618.3049409,625.0967925,662.1185694,669.4789018,748.0922403,761.0105124,753.6929083,765.3299942,836.7675902,893.6453435,915.7363158,874.3454695,915.1174788,963.9128591,985.4176779,984.5201877,977.4236543,994.0875213,1060.970311,1141.320726,130.6483831,1113.162162,985.3004618,931.4214943,886.9193875,872.5227791,833.1152381,793.2780093,759.7111293,740.3141225,695.3855046,666.3632643,628.7742043,600.2282899,591.0955929,558.4236743,531.958645,494.6958662,493.1713698,483.3218389,468.326809,480.4050374,463.7035691,456.084422,472.8297791,485.8312464,500.3448811,499.3525808,491.0651688,526.1606219,163.2176461,241.6712643,1
dca632f89509,1648722365,385.8523033,357.9944134,175.5818897,449.4018247,587.1848091,589.4005429,596.7721508,585.9803751,567.461893,573.0619513,565.2079263,598.2282173,611.9231978,632.216735,650.7918254,647.6951443,698.7331393,735.7886925,740.6483646,779.4619939,797.0407769,845.0147928,857.3873104,866.3971376,872.8923187,899.7255137,894.7871255,892.7603262,906.6007942,903.6924256,944.0052966,1042.632246,130.6483831,1027.132903,893.1097357,830.927193,815.7769303,768.8797045,756.0489402,727.121723,695.4840041,688.3560125,676.9963072,643.4858196,582.2688383,550.7848945,522.8173677,516.6836556,492.2052417,463.7456199,470.6187417,456.1797891,456.8435181,438.3982208,434.8976891,428.8228072,431.0568408,452.9657824,458.4157502,445.4492115,426.043425,526.1606219,163.2176461,241.6712643,1
dca632f89509,1648722365,385.8523033,357.9944134,175.5818897,449.4018247,549.3605374,560.9937611,567.4927312,568.9024521,549.5179706,572.3093569,578.2611867,607.5565817,643.9518616,649.1132413,664.0858378,660.1189287,698.9878397,720.6420748,741.0971596,786.4890336,823.6139873,837.373274,860.5777129,876.7086175,880.0869275,899.7077303,890.2162659,875.7630958,887.0997689,897.937637,929.1555306,1036.403879,130.6483831,1012.800079,883.0175536,830.2246684,814.926377,793.7316927,763.6471698,739.0169146,704.5707913,700.2685199,693.9920749,663.5096081,640.7386363,607.9638147,596.8224191,600.0308325,581.0077452,545.220139,553.6506118,554.5782181,560.2606536,535.3596922,535.5837936,530.5327511,536.7327082,549.9254495,552.754014,537.2383084,525.404606,526.1606219,163.2176461,241.6712643,1
dca632f89509,1648722365,385.8523033,357.9944134,175.5818897,449.4018247,543.9944853,559.1511424,561.1782248,558.1576838,563.1074498,577.2521113,604.7974868,603.3116939,637.5868568,652.0559792,676.0,719.9006876,739.7972695,787.5258726,856.9719949,892.8387312,938.3373594,939.7834857,960.3067218,982.9852491,1036.095073,1057.994801,1077.464617,1098.291856,1080.001852,1116.917186,1182.414902,1224.354932,130.6483831,1242.211737,1152.080292,1074.747412,1022.436795,1023.703082,1000.612313,917.8376763,917.8333182,847.6060406,821.7377927,805.4675661,799.3997748,763.0026212,730.0808174,661.4786467,629.4267233,612.2777148,591.3619873,568.2041887,562.6730845,561.6992078,542.6647215,568.1689889,559.3254866,533.970973,528.2773893,556.8814955,564.213612,526.1606219,163.2176461,241.6712643,1
